SpiritBlade,灵魂之刃
BronzeChestnut,青铜板栗
SilverChestnut,银色七叶树
GoldChestnut,金色七叶树
Cherry,樱桃色
Mushroom,蘑菇
EbonyFruit,乌木果实
Timber,木材
CannibalLeaf,食人叶
CannibalFruit,食人果
SpiderTeeth,蜘蛛牙
SpiderWeb,蜘蛛网
WoomaHorn,禾马角
ZumaRelic,祖玛乐
MaggotPill,蛆虫药丸
ScorpionTail,蝎子的尾巴
Bone,骨头
LargeBone,大骨
SkyStingerEgg,天鹅蛋
Mandible,下颌骨
BugEye,虫眼
BugLeg,虫腿
BugShell,虫壳
WhiteThread,白线
RedThread,红线
BlackThread,黑线
RedEyeSkull,红眼骷髅头
DragonScale,龙鳞
WindMarble,风卵石
EvasionMarble,躲避大理石
FocusMarble,焦点大理石
PoisonMarble,毒药大理石
IceMarble,冰石
WillMarble,意志大理石
AntidoteMarble,解毒石
String,字符串
HealingLetter,治愈字母
DeerHorn,鹿角
DeerBlood,鹿血
PigEar,猪耳朵
PigHoof,猪蹄
SpiderLeg,蜘蛛腿
CannibalPoison,食人毒物
RedMoonChip,红月亮芯片
EvilApeOil,恶猿油
EvilApeHeart,恶猿之心
JadeCrystal,翡翠水晶
DemonLeather,恶魔皮革
UndeadLeather,亡灵皮革
MammothLeather,猛犸象皮
BeastLeather,野兽皮
LightLeather,轻型皮革
BaboonLeather,狒狒皮
RhinoLeather,犀牛皮
AncientLeather,古代皮革
BraveryGlyph0,勇者之心0
BraveryGlyph1,勇者之心1
BraveryGlyph2,勇者之心2
BraveryGlyph3,勇者之心3
MagicGlyph0,魔法精灵0
MagicGlyph1,魔法精灵1
MagicGlyph2,魔法精灵2
MagicGlyph3,魔法精灵3
SoulGlyph0,灵魂精灵0
SoulGlyph1,灵魂精灵1
SoulGlyph2,灵魂精灵2
SoulGlyph3,灵魂精灵3
ProtectionGlyph0,灵魂保护0
ProtectionGlyph1,灵魂保护1
ProtectionGlyph2,灵魂保护2
ProtectionGlyph3,灵魂保护3
EvilSlayerGlyph0,邪恶的杀手锏0
EvilSlayerGlyph1,邪恶的杀手锏1
EvilSlayerGlyph2,邪恶的杀手锏2
EvilSlayerGlyph3,邪恶的杀手锏3
BodyGlyph0,身心合一0
BodyGlyph1,身心合一1
BodyGlyph2,身心合一2
BodyGlyph3,身心合一3
AwakeningSoul0,觉醒的灵魂0
AwakeningSoul1,觉醒的灵魂1
AwakeningSoul2,觉醒的灵魂2
AwakeningSoul3,觉醒的灵魂3
BabyPigEgg,小猪蛋
ChickEgg,小鸡蛋
KittenEgg,小猫蛋
SkeletonEgg,骷髅蛋
BaekdonEgg,白冬瓜蛋
WimaenEgg,威马恩蛋
BlackKittenEgg,黑猫蛋
BabyDragonEgg,婴儿龙蛋
OlympicEgg,奥运蛋蛋
SnowManEgg,雪人蛋
FrogEgg,青蛙蛋
CreatureMirror,生物镜
BlackCreatureStone,黑色生物石
CreatureNuts,生物坚果
FairyMoss,仙女苔藓
FreshwaterClam,淡水蛤蜊
Mackerel,鲭鱼
Cherries,樱桃
WonderPill,神奇药丸
WonderBox(S),神奇宝盒(S)
WonderBox(M),神奇宝盒(中)
WonderBox(L),神奇宝盒(大)
WonderDrug(EXP),神奇药丸(EXP)
WonderDrug(DROP),神奇药丸(DROP)
WonderDrug(HP),神奇药物(HP)
WonderDrug(MP),神奇药物(MP)
WonderDrug(AC),万能药(AC)
WonderDrug(MAC),万能药(MAC)
WonderDrug(A.SPEED),神奇药物(A.SPEED)
Knapsack(S),背包(S)
Knapsack(M),背包(M)
Knapsack(L),背包(L)
Fencing,击剑
Slaying,杀人
Thrusting,刺杀
HalfMoon,半月形
ShoulderDash,肩部冲刺
TwinDrakeBlade,双闸刀
Entrapment,禁锢
FlamingSword,火焰之剑
LionRoar,狮子吼
CrossHalfMoon,十字半月
BladeAvalanche,刀锋雪崩
ProtectionField,保护场
Rage,愤怒
CounterAttack,反击
SlashingBurst,斩击爆裂
Fury,怒击
ImmortalSkin,不朽的皮肤
FireBall,火球
Repulsion,斥力
ElectricShock,电击
GreatFireBall,大火球
HellFire,地狱之火
ThunderBolt,霹雳火
Teleport,传送
FireBang,火焰弹
FireWall,火墙
Lightning,闪电
FrostCrunch,寒霜紧缩
ThunderStorm,雷霆风暴
MagicShield,魔法盾
TurnUndead,亡灵转化
Vampirism,吸血术
IceStorm,冰风暴
FlameDisruptor,火焰破坏者
Mirroring,镜像
FlameField,火焰场
Blizzard,暴风雪
MagicBooster,魔力助推器
MeteorStrike,流星打击
IceThrust,冰刺
Blink,眨眼
StormEscape,风暴逃逸
FastMove,快速移动
Healing,疗伤
SpiritSword,精神之剑
Poisoning,中毒
SoulFireBall,灵魂火球
SummonSkeleton,召唤骷髅
Hiding,躲藏
MassHiding,大规模躲藏
SoulShield,灵魂盾牌
Revelation,启示
BlessedArmour,受祝福的盔甲
EnergyRepulsor,能量反击器
TrapHexagon,陷阱六边形
Purification,净化
MassHealing,大规模治疗
Hallucination,幻觉
UltimateEnhancer,终极强化器
SummonShinsu,召唤神术
Reincarnation,转世
SummonHolyDeva,召唤圣德瓦
Curse,诅咒
Plague,瘟疫
PoisonCloud,毒云
EnergyShield,能量护盾
PetEnhancer,宠物强化器
HealingCircle,治愈圈
FatalSword,致命之剑
DoubleSlash,双击
Haste,障碍物
FlashDash,闪光冲刺
LightBody,光之体
HeavenlySword,天堂之剑
FireBurst,火焰喷射
Trap,陷阱
PoisonSword,毒剑
MoonLight,月光
MPEater,猎手
SwiftFeet,迅捷脚步
DarkBody,黑暗之躯
Hemorrhage,出血
CresentSlash,裂缝
MoonMist,月雾
Focus,焦点
StraightShot,直击
MentalState,精神状态
DoubleShot,双响炮
Meditation,冥想
ElementalShot,元素射击
ExplosiveTrap,爆炸性陷阱
Concentration,专注力
VampireShot,吸血鬼射击
SummonVampire,召唤吸血鬼
BackStep,后撤步
DelayedExplosion,延迟爆炸
ElementalBarrier,元素屏障
BindingShot,捆绑射击
SummonToad,召唤蟾蜍
PoisonShot,毒药射击
CrippleShot,残废射击
SummonSnakes,召唤蛇类
NapalmShot,汽油弹
OneWithNature,与自然同在
StoneTrap,石头陷阱
Portal,传送门
WoomaHeart,巫马之心
StoneHeart,石头之心
PrajnaHeart,普拉纳之心
ZumaHeart,祖玛之心
DollyMask,多利面具
Pirate,海盗
Ninja(M),忍者(男)
Ninja(F),忍者(女)
Santa,圣诞老人
Rudolph,鲁道夫
SpiderWarrior,蜘蛛武士
ManectricClub,骑士俱乐部
ManectricHammer,锤子(ManectricHammer)
FlamingMutant,火焰变种人
Formal(M),正规(男)
Formal(F),正规(女)
Formal1(M),正规1(男)
Formal1(F),正规1(女)
Footballer,踢球者
DevilGirl,魔鬼女郎
Formal2(F),正规2(女)
Formal2(M),正规 2(男)
HellWarrior,地獄戰士
HeavenWarrior,天堂战士
Footballer1,踢球者1
Footballer2,踢球者2
Footballer3,踢球者3
Footballer4,足球运动员4
Footballer5,足球运动员5
DevilGirl1,恶魔女孩1
Ram,正规
Formal2(M),正规2(男)
CannibalLeaves,大食人的叶子
GingerTea,姜茶
OmaTeeth,大妈的牙齿
CannibalStem,吃人的茎
PoisonSack,毒药袋
Web,网络
JadeRing,玉环
BluePill,蓝药
SecretRecipe,秘方
SnakeBody,蛇身
SnakeWine,蛇酒
Ebony(Fruit),乌木(果实)
RedSnakeTeeth,红蛇牙
OliviasRing,奥利维亚斯戒指
Relics,遗物
CookBook,烹饪书
CannibalSeed,食人花籽
CanniTea,坎尼茶
BatTeeth,蝙蝠的牙齿
Skull,头骨
ZombieEye,僵尸眼
BatWings,蝙蝠之翼
CaveReport,洞穴报告
SkeletonHead,骷髅头
RareCopperOre,罕见的铜矿石
OldNecklace,古老的颈链
BugBlood,虫血
BluJadePendant,蓝吊坠
Antidote,解毒剂
GatheringGlove,采集手套
GatheringTool,采集工具
GreenHerb,绿草
MobBlood,血液
RedDagger,红匕首
OldRobe,旧袍子
StolenGold,被盗的黄金
HiddenScroll,隐藏的卷轴
HeartOfDead,亡灵之心
TraineeSuit,实习生服装
ZombiesHeart,僵尸之心
AncientTree,古老的树
WornAxe,磨损的斧头
TraineeRing,受训者戒指
SkysLetter,天文字母
BeefRib,牛肉卷
WoomasHorn,巫马之角
BugSpecimen,虫类标本
CharleySword,夏利剑
BichonTales(1),比熊的故事(1)
BichonTales(2),比熊故事(2)
BichonTales(3),比熊的故事(3)
CorpsFlower,兵团之花
CleanSkull,清洁的骷髅头
PrajnaHistory,普拉纳历史
BatPoison,蝙蝠之毒
Algae,藻类
RelicRock,遗迹岩石
BloodPill,血丸
SkeletonBone,骷髅骨
BoarTooth,野猪牙
GoldenPendant,金吊坠
SharpDagger,锋利的匕首
ToughHoaSword,坚韧之剑
StiffWoodenBow,坚硬的木头弓
OldCopperRing,老铜环
WornIronBracelet,磨损的铁手镯
BronzeWarriorSword,青铜战士之剑
StrongHoaSword,坚强的可可之剑
StrongWoodenBow,强力木弓
OldLoafer,旧鞋垫
PrecisionPendant,精密吊坠
BronzeShortSword,青铜短剑
BronzeHoaSword,青铜霍阿剑
ElkWoodenBow,麋鹿木弓
SteelBangle,钢手镯
StrongLeatherBelt,坚固的皮革腰带
BlackCrystalPendant,黑水晶吊坠
EbonyPendant,乌木吊坠
YellowCrystalPendant,黄水晶吊坠
SolidArmour(M),固体盔甲(男)
SolidArmour(F),固体盔甲(女)
BrokenSword,破碎的剑
SuperiorBronzeHelmet,高级青铜头盔
StrongLeatherShoes,强力皮鞋
SolidBronzeAxe,实心铜斧
SharpSword,锋利的剑
SharpTrident,锋利的三叉戟
SharpScimitar,锋利的弯刀
SharpSabre,剑客
ToughBow,坚韧之弓
SuperiorMagicHelmet,优秀的魔法头盔
SteelBuckle,钢扣
OldNagaNecklace,老纳加项链
AmberPendant,琥珀吊坠
WornBeadofPhoenix,凤凰之珠
BronzeStrap,铜带
ToughGlove,坚韧的手套
MagicBangle,魔幻手镯
HardSteelSword,硬钢剑
EbonyBangle,乌木手镯
MonkBangle,和尚手镯
SilkShoes,丝绸鞋
BlackCrystalRing,黑水晶戒指
EyeofGoldenSnake,金蛇之眼
BlackPearlRing,黑珍珠戒指
MartialSabre,武术刀
SpearWithHook,带钩长矛
KeenKrissSword,强力剑
BlackIronCrowSwords,黑铁乌鸦剑
ToughLongBow,坚韧的长弓
ThickArmour(M),厚重的盔甲(男)
ThickArmour(F),厚甲(女)
FireMagicRobe(M),火焰魔刃(男)
FireMagicRobe(F),火焰之刃(女)
TaoArmour(M),陶器(M)
TaoArmour(F),道袍(女)
SpiritRobe(M),精神之袍(男)
SpiritRobe(F),灵袍(女)
LeatherArmour(M),皮甲(男)
LeatherArmour(F),皮甲(女)
BlueJadePendant,蓝玉吊坠
WizardRing,巫师戒指
RingOfMoral,道德之环
BlackIronBelt,黑铁腰带
SolidBlackBoots,实心黑靴
ClawPendant,爪形吊坠
FireConvexLens,火焰凸透镜
StrongBambooFlute,坚固的竹笛
ExorcistRing,驱魔人戒指
SolidGreatAxe,实心大斧
SolidBronzeStaff,实心铜杖
SolidSerpentSword,实心蛇形剑
SolidTwinBlades,固体双刃剑
SolidSilverBow,固体银弓
BlackIronBangle,黑铁手镯
FineIronArmour(M),精美铁甲(男)
FineIronArmour(F),精美铁甲(女)
FireRobe(M),火刃(中)
FireRobe(F),火刃(女)
YingYangRobe(M),阴阳袍(男)
YingYangRobe(F),迎阳袍(女)
FlamingRedArmour(M),火焰红甲(男)
FlamingRedArmour(F),烈焰红衣(女)
HardTemperedArmour(M),硬钢盔甲(男)
HardTemperedArmour(F),精钢盔甲(女)
RedMoonSword,红月之剑
RedMoonBlades,红月之刃
RedMoonBow,红月之弓
CreditToken1,信用令牌1
CreditToken2,信用令牌2
CreditToken3,信用令牌3
CreditToken4,信用令牌4
CreditToken5,信用令牌5
CreditToken6,信用令牌6
CreditToken7,信用令牌7
CreditToken8,信用令牌8
DestructionLiquor1,毁灭之酒1
DestructionLiquor3,毁灭之酒3
DestructionLiquor5,毁灭之酒5
MagicalLiquor1,神奇之酒1
MagicalLiquor3,神奇之酒3
MagicalLiquor5,神奇之酒5
SoulLiquor1,灵魂之酒1
SoulLiquor3,灵魂之酒2
SoulLiquor5,灵魂之酒3
HealthWine1,健康酒1
HealthWine3,健康酒3
HealthWine5,健康酒5
MagicWine1,魔法酒1
MagicWine3,魔法酒3
MagicWine5,魔法酒5
GalePotion1,大风车1
GalePotion2,大风车2
GalePotion3,大风车3
ResurrectionScroll,复活卷轴
PKPointReduction,PK点减少
MysteriousScroll1,神秘卷轴1
MysteriousScroll2,神秘卷轴2
GuardRental[7d],守卫出租[7d]
AncientBanga[Green],古老的班加[绿色]
AncientBanga[Purple],古老的班加[紫色]
SexChange,性变化
MysteriousStone[3d],神秘的石头[3d]
DCTorch[3h],DC火炬[3h]
MCTorch[3h],MC火炬[3h]
SCTorch[3h],SC火炬[3h］
DCTorch[2h],DC火炬[2h]
MCTorch[2h],MC火炬[2h]
SCTorch[2h],SCT火炬[2h］
EXP30%1,经验值30%1
EXP30%3,经验值30%3
EXP30%5,经验值30%5
EXP30%24,经验值30%24
EXP50%1,经验值50%1
EXP50%3,经验值50%3
EXP50%5,经验值50%5
EXP50%24,经验值50％24
ExtraDrop20%,额外掉落20%
DestructionWater3,毁灭之水3
DestructionWater7,毁灭之水7
MagicalWater3,神奇的水3
MagicalWater7,神奇的水7
SoulWater3,灵魂之水3
SoulWater7,灵魂之水7
StrengthWater3,力量之水3
StrengthWater7,力量水7
ElixirOfPhysical,物理灵药
AccuracyPotion,准确度药剂
BlueOctagonalBox,蓝色八角形盒子
RedOctagonalBox,红色八角形盒子
GreenOctagonalBox,绿色八角形盒子
DestructionLiquor,毁灭之酒
MagicalLiquor,魔法酒
SoulLiquor,灵魂酒
HealthWine,健康酒
GalePotion,大风药水
AncientScyther,古老的镰刀
WhiteWine,白葡萄酒
RedWine,红葡萄酒
Wine,葡萄酒
CannibalWine,食人酒
SpiderWine,蜘蛛酒
MongchonWine,梦泉酒
BloodWine,血酒
Medicine,药酒
BoxofHolyWater1,圣水之盒1
ElixirOfMight[1d],威力药水[1d]。
ElixirOfDefensive[1d],防御灵药[1d]。
ElixirOfGinseng[1d],人药[1d]。
EXP20%[1d],经验值20%[1d]。
PremiumPass[1d],高级通行证[1d]
PremiumPass[3d],高级通行证[3d]
PremiumPass[7d],高级通行证[7d]
PremiumPass[15d],高级通行证[15d]
FishingPackage,钓鱼包
CraftingBook,工艺书
SealedHero,封印的英雄
CostumeGirl,服装女郎
BlackTiger(F),黑虎(女)
BlackTiger(M),黑虎(男)
Bossy(F),波西(女)
Bossy(M),霸道(男)
GymnasticsQueen,体操女王
OldFisherman,老渔夫
Pig,猪
SkiKid,滑雪小子
Sportsman,运动家
Yizhili,易志丽(Yizhili)
DCTorch3,DC Torch3
MCTorch3,MC Torch3
SCTorch3,SC Torch3
IceDragonSword,冰龙之剑
CatTognue,猫头鹰
MeteorShower,流星雨
BattleCry,战斗呐喊
